"jobtitle","company","location","salary","companysize","companyrating","summary"
"Junior Research Analyst","Issuer Direct Corporation","Morrisville, NC 27560","NA",nan,nan,"NA"
"Staff Machine Learning Engineer","Sony Interactive Entertainment PlayStation","San Francisco, CA","NA",7,51.0,"NA"
"Product Engineering Data Scientist","Dell","Atlanta, GA","NA",nan,51.0,"NA"
"Associate Clinical Data Scientist","Pfizer","Collegeville, PA","NA",nan,52.2,"Support Clinical Data Scientists for one or more clinical trials in activities related to ensuring high quality, on-time data management deliverables...."
"Data Scientist","Masego Inc","Springfield, VA","NA",nan,nan,"NA"
"Data Scientist Data Visualizatio","Nityo infotech Services Pvt. Ltd","Bradenton, FL","$50 - $55 an hour",5,43.8,"NA"
"Data Analyst","Ipreo","Raleigh, NC 27601 (Central area)","NA",26,40.8,"NA"
"Data Scientist","GCP Applied Technologies","Cambridge, MA","NA",12,40.8,"NA"
"Data Scientist Intern","WESTAT","Rockville, MD 20850","NA",244,51.6,"NA"
"Junior Research Analyst","Glass Lewis","San Francisco, CA","NA",2,51.0,"SUMMARY Glass, Lewis & Co., the leading independent investment research and proxy advisory firm, is currently seeking to hire a full- time, permanent Junior"
"Data Scientist/Data Engineer","Novetta","Springfield, VA","NA",14,39.0,"NA"
"Statistical Analyst","STATinMED Research","Plano, TX","NA",nan,nan,"NA"
"Machine Learning Scientist","Smiths Detection","Edgewood, MD","NA",69,41.4,"NA"
"Machine Learning Scientist","Align Technology Inc","Raleigh, NC","NA",36,51.0,"NA"
"NLP Data Scientist / Engineer","Spacequant Inc.","San Francisco, CA","$60,000 - $120,000 a year",nan,nan,"NA"
"Data Science - USA","First Derivatives","New York, NY 10022 (Midtown area)","NA",nan,nan,"Data Scientists explore vast amounts of information to detect patterns, trends and correlations that enable businesses to improve their products, services and..."
"Data Scientist","TiVo","Durham, NC","NA",45,43.2,"Answer product questions by using appropriate statistical techniques on available data. In a relevant technical field, or 2+ years experience in a relevant role..."
"Junior Data Scientist","CGI","Washington, DC","NA",nan,43.2,"NA"
"Post Doc - Machine Learning Modeling","Corning","Painted Post, NY 14870","NA",306,51.0,"Subject Matter Expert providing data analytics and machine learning modeling software development support to create novel computational methods and produce..."
"Data Analyst III","K-LOVE & Air1 Chistian Radio Network","Rocklin, CA","NA",nan,nan,"To join this team of brilliant Data Analysts & Data Scientists. Advanced knowledge of SQL Server database services, Tableau, R, Alteryx, SQL, etc...."
"Data Science Analyst","Nielsen","Tampa Bay, FL","NA",nan,44.4,"Conduct deep dives into data trends and potential data irregularities using advanced analytics and statistical methods...."
"EDW Data Scientist","CSRA","Washington, DC","NA",161,41.4,"Review and improve existing predictive models Profiling and analyzing source system data to determine data relationships, design constructs, consistency and..."
"Data Scientist","ThirdLove","San Francisco, CA","NA",2,27.0,"Use established and cutting edge Machine Learning and Advanced Statistical Models to build data science products that power personalized and differentiated..."
"Data Scientist","Telus International","Home Based","NA",438,44.4,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
"Data Scientist","Intelligent Medical Objects, Inc.","Northbrook, IL 60062","NA",nan,nan,"Identifies available and relevant data, covering both internal and external data sources. Data retrieval and transforming (flavored SQL, familiarity with big..."
"Research Data Analyst","Texas Legislative Council","Austin, TX","NA",7,53.4,"NA"
"Machine Learning Engineer","Barracuda Networks Inc.","Campbell, CA","NA",51,43.2,"Design, implement, test and sustain automated data analysis and classification systems using big data analysis and machine learning techniques...."
"Research Scientist - Data Science","Educational Testing Service (ETS)","Princeton, NJ 08541","NA",187,51.0,"Demonstrated experience in statistics, data sciences and advanced machine learning techniques to solve challenging data science problems in real world..."
"Healthcare Quality Data Scientist - Quality & Improvement Jo...","PeaceHealth","Vancouver, WA","NA",112,41.4,"Partner with Quality leadership to determine whether a request is amenable to an analytic solution, recommend, develop and implement systems, procedures, and..."
"Applied Machine Learning Engineer - Business Platform","Uber","Seattle, WA 98101 (Downtown area)","NA",214,44.4,"What you'll doAs an applied machine learning engineer on the Business Platform team you are uniquely positioned to bring artificial intelligence into Uber..."
"Finance Data Scientist","IBM","Rochester, MN 55901","NA",nan,51.0,"NA"
"Junior Data Analyst (3+ months)","SEIU 775 Benefits Group","Seattle, WA","NA",3,52.8,"You will join a dynamic business analytics team and work closely with the data scientists and senior business analysts to analyze rich data sets and build..."
