"jobtitle","company","location","salary","companysize","companyrating","summary"
"Sales Coordinator","Brain Corporation","San Diego, CA","NA",nan,nan,"Brain Corporation applies expertise in artificial intelligence, machine learning, and computer vision, to build brains for commercial robots...."
"Software Engineer - Data Visualization","HIRECLOUT","Mountain View, CA","NA",nan,nan,"An Artificial Intelligence company in the Bay Area is looking for a Data Visualization Engineer. Create data visualization tools with 3D graphics software for..."
"Logistics Analyst","ZT Systems","Secaucus, NJ","NA",23,32.4,"A new world of digital business and enhanced human connectivity is emerging, enabled by innovations in artificial intelligence, natural language interfaces,..."
"Principal Data Scientist","General Electric","Massachusetts","NA",nan,51.6,"We are looking for a Data Scientist to work with key Artificial Intelligence(AI), Deep Learning(DL) Clinical Partnership accounts to assist and build deep..."
"Principal Machine Learning Scientist, Digital Practice","Nordstrom","Seattle, WA","NA",nan,51.0,"Quantitative methods should span statistical modeling, machine learning, optimization methods, econometrics, graph theories, artificial intelligence, text..."
"Business Development Representative","DigitalGenius","San Francisco, CA","NA",nan,nan,"Interest in Technology & Artificial Intelligence. DigitalGenius is a venture-backed artificial intelligence company, bringing practical applications of deep..."
"Front-End SaaS Developer","Boston Data Group","Boston, MA","NA",nan,nan,"Our team will be building the next generation solution around new and emerging technologies such as Machine Learning, Artificial Intelligence, Big Data, Data..."
"Principal Consultant","Symphony Ventures","Dallas, TX","NA",nan,nan,"NA"
"Computer Science Intern Program (CSIP)","National Security Agency","Fort Meade, MD","NA",117,53.4,"Machine Learning/Artificial Intelligence. The National Security Agency (NSA) is part of the DoD Intelligence Community Defense Civilian Intelligence Personnel..."
"Engagement Manager, Strategic Client Partnerships (CPG/Retai...","Logos Infotech Inc","New York, NY","$135,000 a year",nan,nan,"Embed Artificial Intelligence & Machine Learning in all projects & proposals. Green card and US Citizens...."
"Compliance Director","Mitek Systems","San Diego, CA","NA",nan,nan,"MITK) is an innovator in Artificial Intelligence and Machine Learning that simplify everyday tasks, is seeking qualified candidates for a Compliance Director..."
"Server QE Engineer","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Play a part in ensuring the quality of groundbreaking technology for large scale systems, natural language, big data, and artificial intelligence...."
"Director of Product Marketing","DataRobot","Boston, MA 02109 (Central area)","NA",2,60.0,"Automated machine learning and artificial intelligence. This career-defining opportunity focuses on communicating our unique value in the fast-emerging..."
